station_name,station_id,agency,city,county,latitude,longitude,station_type,total_amenities,diversity_score,nearest_amenity_m,grocery,park,clinic,pharmacy,hospital,doctors,childcare,kindergartens,convenience,median_income,total_pop,total_households,households_no_vehicle,pct_no_vehicle,pct_nonwhite,GEOID,amenities_per_1000,healthcare_total,equity_flag,disadvantage_score,access_score,equity_concern
El Cerrito Plaza,PLZA,BART,El Cerrito,contracosta,37.902632,-122.298904,peripheral,18,4,219.47804322322816,3,9,1,1,0,1,0,0,3,179107.0,6129,2439,299,12.259122591225912,59.12873225648556,6075030301,2.936857562408223,1,False,-0.03570673140594327,0.14862675430951613,False
Dublin/Pleasanton,DUBL,BART,Pleasanton,alameda,37.701687,-121.899179,peripheral,17,3,295.09870874797207,1,14,1,0,0,0,0,0,1,42417.0,4803,999,382,38.23823823823824,55.86092025817197,6001422700,3.539454507599417,1,False,1.1574846816828466,0.07653832856657715,False
Gilroy,gilroy,Caltrain,,,37.004466,-121.566727,core,16,3,189.18610972562087,2,2,0,2,0,3,1,1,5,138750.0,4895,2155,139,6.450116009280743,62.49233912155261,6085509403,3.268641470888662,0,False,0.13200758209739805,0.004449902823638165,False
West Oakland,WOAK,BART,Oakland,alameda,37.804872,-122.29514,core,16,2,150.41377254833637,0,8,2,0,0,0,0,1,5,194625.0,3742,1359,29,2.1339220014716704,59.700694815606624,6075030302,4.27578834847675,2,False,-0.30330600349053644,0.004449902823638165,False
Menlo Park,menlo_park,Caltrain,,,37.4548,-122.18245,core,16,4,63.28611235384823,3,5,1,1,0,5,0,0,1,175139.0,4088,1383,0,0.0,77.5440313111546,6081600300,3.9138943248532287,1,False,0.05159941701013487,0.004449902823638165,False
Fremont,FRMT,BART,Fremont,alameda,37.557465,-121.976608,peripheral,15,4,240.9225190857771,2,1,1,3,3,2,0,2,1,194662.0,5367,1786,20,1.1198208286674132,26.271660145332586,6001451601,2.794857462269424,4,False,-0.861136588129324,-0.06763852291930082,False
Hayward Park,hayward_park,Caltrain,,,37.553161,-122.309494,core,14,4,178.24975533481853,4,5,1,2,0,0,0,1,1,250001.0,4251,1268,21,1.6561514195583598,30.01646671371442,6081611400,3.293342742884027,1,False,-1.0966478775062383,-0.1397269486622398,False
San Bruno Caltrain Station,san_bruno,Caltrain,,,37.630460335,-122.411709042,core,13,2,91.5346793951814,3,5,0,0,0,0,0,0,5,150139.0,3061,1660,768,46.265060240963855,31.590983338778177,6075016900,4.246978111728194,0,False,0.32239827736040555,-0.2118153744051788,False
Concord,CONC,BART,Concord,contracosta,37.973737,-122.029095,peripheral,13,4,266.104024296816,3,3,1,1,0,0,0,0,5,41264.0,7826,2579,648,25.12601783637069,90.8893432149246,6013377000,1.6611295681063123,1,False,1.480747169408584,-0.2118153744051788,False
Mountain View,mountain_view,Caltrain,,,37.395067,-122.07722,core,13,3,124.74433797808533,0,5,2,2,0,2,0,1,1,121667.0,5101,2154,93,4.3175487465181055,55.106841795726325,6085506301,2.548519898059204,2,False,0.0672523317151934,-0.2118153744051788,False
