station_name,agency,latitude,longitude,GEOID,median_income,pct_no_vehicle,pct_nonwhite,total_pop,geometry,total_amenities,grocery,park,clinic,pharmacy,hospital,doctors,childcare,convenience,kindergarten,station_type,ridership,need_pct,supply_pct,supply_gap,unmet_need_index,amenity_entropy
North Berkeley,BART,37.873967,-122.28344,06001422200,99379.0,11.44,39.06,3313,POINT (-122.28344 37.873967),21,0,11,1,0,0,0,0,8,0,peripheral,1740.0,0.6075949367088608,0.7848101265822784,0.21518987341772156,0.13074827751962828,0.8451132568429528
North Concord/Martinez,BART,38.003193,-122.024653,06013355202,136354.0,3.45,90.27,3803,POINT (-122.024653 38.003193),1,0,1,0,0,0,0,0,0,0,peripheral,637.0,0.24050632911392406,0.02531645569620253,0.9746835443037974,0.23441756128825508,0.0
Oakland International Airport,BART,37.713238,-122.212191,06001409000,75987.0,6.47,95.55,4204,POINT (-122.212191 37.713238),2,0,0,0,0,0,0,0,2,0,peripheral,571.0,0.35443037974683544,0.04430379746835443,0.9556962025316456,0.3387277679858997,0.0
Orinda,BART,37.878361,-122.183791,06013354001,231108.0,0.0,30.82,2255,POINT (-122.183791 37.878361),7,0,1,0,1,1,1,0,3,0,peripheral,1276.0,0.0189873417721519,0.23417721518987342,0.7658227848101266,0.014540938952091012,1.4750763110546947
Pittsburg/Bay Point,BART,38.018914,-121.945154,06013355201,173611.0,7.96,93.35,8798,POINT (-121.945154 38.018914),8,1,4,0,1,0,0,1,1,0,core,2197.0,0.45569620253164556,0.3037974683544304,0.6962025316455696,0.3172568498638038,1.3862943611198906
Pittsburg Center,BART,38.016941,-121.889457,06013313104,60625.0,12.18,72.75,3024,POINT (-121.889457 38.016941),3,1,1,0,0,0,0,0,1,0,core,1798.0,0.620253164556962,0.06962025316455696,0.930379746835443,0.5770709822143887,1.0986122886681096
Pleasant Hill/Contra Costa Centre,BART,37.928468,-122.056012,06013324003,93828.0,3.95,54.23,3266,POINT (-122.056012 37.928468),7,2,2,0,0,1,0,0,2,0,core,2536.0,0.26582278481012656,0.23417721518987342,0.7658227848101266,0.20357314532927412,1.351783994289646
Powell St.,BART,37.784471,-122.407974,06075012503,50696.0,74.46,84.7,4772,POINT (-122.407974 37.784471),66,2,8,3,2,0,4,1,46,0,core,11002.0,0.9873417721518988,0.9873417721518988,0.012658227848101222,0.012497997115846777,1.093190505592172
Richmond,BART,37.936853,-122.353099,06013375000,77667.0,9.89,91.19,5367,POINT (-122.353099 37.936853),8,3,1,1,2,1,0,0,0,0,core,2414.0,0.5569620253164557,0.3037974683544304,0.6962025316455696,0.38775837205576025,1.4941751382893085
Rockridge,BART,37.844702,-122.251371,06001400300,176618.0,16.14,39.65,5990,POINT (-122.251371 37.844702),10,2,4,0,0,0,0,1,2,0,core,2638.0,0.7848101265822784,0.4240506329113924,0.5759493670886076,0.45201089568979325,1.2730283365896256
San Bruno,BART,37.637761,-122.416287,06081604102,100789.0,8.14,68.55,3030,POINT (-122.416287 37.637761),7,1,5,0,0,0,0,0,1,0,peripheral,1468.0,0.4810126582278481,0.23417721518987342,0.7658227848101266,0.36837045345297226,0.7963116401738131
San Leandro,BART,37.721947,-122.160844,06001432601,91835.0,15.45,72.35,3978,POINT (-122.160844 37.721947),11,2,3,0,2,0,1,0,3,0,core,3360.0,0.7341772151898734,0.5126582278481012,0.4873417721518988,0.3577952251241789,1.5465986860485126
South Hayward,BART,37.634375,-122.057189,06001435104,123049.0,0.54,87.73,7752,POINT (-122.057189 37.634375),2,0,2,0,0,0,0,0,0,0,peripheral,1419.0,0.0379746835443038,0.04430379746835443,0.9556962025316456,0.036292260855632114,0.0
South San Francisco,BART,37.664245,-122.44396,06081601902,125096.0,8.35,75.83,4960,POINT (-122.44396 37.664245),6,2,1,0,1,1,0,0,1,0,peripheral,1347.0,0.4936708860759494,0.18354430379746836,0.8164556962025317,0.40306040698605994,1.5607104090414063
Union City,BART,37.59063,-122.017388,06001440338,138204.0,2.5,71.79,3917,POINT (-122.017388 37.59063),10,5,2,0,0,0,1,0,2,0,core,1858.0,0.12658227848101267,0.4240506329113924,0.5759493670886076,0.07290498317577311,1.2206072645530173
Walnut Creek,BART,37.905522,-122.067527,06013339004,129637.0,7.3,52.2,3701,POINT (-122.067527 37.905522),5,0,2,0,0,0,1,1,1,0,core,2897.0,0.4177215189873418,0.13924050632911392,0.8607594936708861,0.35955776317897775,1.3321790402101223
Warm Springs/South Fremont,BART,37.502171,-121.939313,06001441525,230268.0,5.27,90.78,3328,POINT (-121.939313 37.502171),0,0,0,0,0,0,0,0,0,0,peripheral,1163.0,0.3291139240506329,0.012658227848101266,0.9873417721518988,0.3249479250120173,0.0
West Dublin/Pleasanton,BART,37.699756,-121.92824,06001450609,168972.0,3.29,55.48,4827,POINT (-121.92824 37.699756),7,1,2,0,1,0,1,0,1,0,peripheral,1280.0,0.21518987341772153,0.23417721518987342,0.7658227848101266,0.16479730812369814,1.5607104090414063
West Oakland,BART,37.804872,-122.29514,06001402200,125351.0,13.62,76.83,2775,POINT (-122.29514 37.804872),16,0,8,2,0,0,0,0,5,0,core,3510.0,0.6835443037974683,0.6708860759493671,0.3291139240506329,0.22496394808524273,0.9701157839869381
22nd Street,Caltrain,37.756972,-122.392492,06075061402,226290.0,12.87,42.72,2760,POINT (-122.392492 37.756972),22,0,10,1,1,0,1,0,9,0,peripheral,1261.0,0.6582278481012658,0.810126582278481,0.189873417721519,0.12497997115846819,1.1455482658143872
Bayshore,Caltrain,37.70766,-122.401665,06081600100,156310.0,2.89,58.34,5295,POINT (-122.401665 37.70766),4,1,1,0,0,0,0,0,2,0,peripheral,168.0,0.16455696202531644,0.0949367088607595,0.9050632911392404,0.1489344656305079,1.0397207708399179
Belmont,Caltrain,37.52133,-122.2763,06081608600,146389.0,12.62,57.4,4484,POINT (-122.2763 37.52133),11,2,5,0,0,0,1,0,3,0,peripheral,654.0,0.6455696202531646,0.5126582278481012,0.4873417721518988,0.3146130427816055,1.240684291953396
Blossom Hill Caltrain Station,Caltrain,37.252606,-121.797907,06085512058,138750.0,4.16,78.28,5561,POINT (-121.797907 37.252606),5,1,1,1,0,0,0,0,2,0,peripheral,71.0,0.27848101265822783,0.13924050632911392,0.8607594936708861,0.23970517545265183,1.3321790402101223
Broadway,Caltrain,37.58726,-122.362,06081605100,172054.0,8.98,52.77,3108,POINT (-122.362 37.58726),7,1,2,0,1,0,0,0,3,0,peripheral,91.0,0.5063291139240507,0.23417721518987342,0.7658227848101266,0.3877583720557603,1.277034259466139
