,Unnamed: 0,station_id_x,name,latitude,longitude,address,city,county,zipcode,agency,mode,geometry,station_id_y,station_type
47,47,WARM,Warm Springs/South Fremont,37.502171,-121.939313,45193 Warm Springs Blvd,Fremont,alameda,94539.0,BART,Heavy Rail,POINT (-121.939313 37.502171),Warm Springs/South Fremont,peripheral
48,48,WDUB,West Dublin/Pleasanton,37.699756,-121.92824,6501 Golden Gate Drive,Dublin,alameda,94568.0,BART,Heavy Rail,POINT (-121.92824 37.699756),West Dublin/Pleasanton,peripheral
49,49,WOAK,West Oakland,37.804872,-122.29514,1451 7th Street,Oakland,alameda,94607.0,BART,Heavy Rail,POINT (-122.29514 37.804872),West Oakland,core
50,50,22nd_street,22nd Street,37.756972,-122.392492,,,,,Caltrain,Commuter Rail,POINT (-122.392492 37.756972),22nd Street,peripheral
51,51,bayshore,Bayshore,37.70766,-122.401665,,,,,Caltrain,Commuter Rail,POINT (-122.401665 37.70766),Bayshore,peripheral
52,52,belmont,Belmont,37.52133,-122.2763,,,,,Caltrain,Commuter Rail,POINT (-122.2763 37.52133),Belmont,peripheral
53,53,blossom_hill,Blossom Hill Caltrain Station,37.252606,-121.797907,,,,,Caltrain,Commuter Rail,POINT (-121.797907 37.252606),Blossom Hill Caltrain Station,peripheral
54,54,broadway,Broadway,37.58726,-122.362,,,,,Caltrain,Commuter Rail,POINT (-122.362 37.58726),Broadway,peripheral
55,55,burlingame,Burlingame,37.57985,-122.34418,,,,,Caltrain,Commuter Rail,POINT (-122.34418 37.57985),Burlingame,peripheral
56,56,california_ave,California Avenue,37.428834,-122.14113,,,,,Caltrain,Commuter Rail,POINT (-122.14113 37.428834),California Avenue,peripheral
57,57,capitol,Capitol Caltrain Station,37.284016,-121.841899,,,,,Caltrain,Commuter Rail,POINT (-121.841899 37.284016),Capitol Caltrain Station,peripheral
58,58,college_park,College Park,37.34289,-121.91565,,,,,Caltrain,Commuter Rail,POINT (-121.91565 37.34289),College Park,peripheral
59,59,gilroy,Gilroy,37.004466,-121.566727,,,,,Caltrain,Commuter Rail,POINT (-121.566727 37.004466),Gilroy,peripheral
60,60,hayward_park,Hayward Park,37.553161,-122.309494,,,,,Caltrain,Commuter Rail,POINT (-122.309494 37.553161),Hayward Park,peripheral
61,61,hillsdale,Hillsdale,37.542392678,-122.301612061,,,,,Caltrain,Commuter Rail,POINT (-122.301612061 37.542392678),Hillsdale,peripheral
62,62,lawrence,Lawrence,37.3707,-121.9969,,,,,Caltrain,Commuter Rail,POINT (-121.9969 37.3707),Lawrence,peripheral
63,63,menlo_park,Menlo Park,37.4548,-122.18245,,,,,Caltrain,Commuter Rail,POINT (-122.18245 37.4548),Menlo Park,peripheral
64,64,place_MLBR,Millbrae Caltrain Station,37.5999,-122.38675,,,,,Caltrain,Commuter Rail,POINT (-122.38675 37.5999),Millbrae Caltrain Station,peripheral
65,65,morgan_hill,Morgan Hill,37.129644,-121.650558,,,,,Caltrain,Commuter Rail,POINT (-121.650558 37.129644),Morgan Hill,peripheral
66,66,mountain_view,Mountain View,37.395067,-122.07722,,,,,Caltrain,Commuter Rail,POINT (-122.07722 37.395067),Mountain View,peripheral
67,67,palo_alto,Palo Alto,37.44322,-122.16429,,,,,Caltrain,Commuter Rail,POINT (-122.16429 37.44322),Palo Alto,core
68,68,redwood_city,Redwood City,37.485865,-122.2315,,,,,Caltrain,Commuter Rail,POINT (-122.2315 37.485865),Redwood City,peripheral
69,69,san_antonio,San Antonio,37.407239431,-122.107115562,,,,,Caltrain,Commuter Rail,POINT (-122.107115562 37.407239431),San Antonio,peripheral
70,70,san_bruno,San Bruno Caltrain Station,37.630460335,-122.411709042,,,,,Caltrain,Commuter Rail,POINT (-122.411709042 37.630460335),San Bruno Caltrain Station,peripheral
71,71,san_carlos,San Carlos,37.508033,-122.2602,,,,,Caltrain,Commuter Rail,POINT (-122.2602 37.508033),San Carlos,peripheral
72,72,san_francisco,San Francisco Caltrain Station,37.776404,-122.394911,,,,,Caltrain,Commuter Rail,POINT (-122.394911 37.776404),San Francisco Caltrain Station,core
73,73,sj_diridon,San Jose Diridon,37.329694,-121.903208,,,,,Caltrain,Commuter Rail,POINT (-121.903208 37.329694),San Jose Diridon,core
74,74,san_martin,San Martin,37.085984,-121.61048,,,,,Caltrain,Commuter Rail,POINT (-121.61048 37.085984),San Martin,peripheral
75,75,san_mateo,San Mateo,37.56824,-122.3239,,,,,Caltrain,Commuter Rail,POINT (-122.3239 37.56824),San Mateo,peripheral
76,76,santa_clara,Santa Clara Caltrain Station,37.353384,-121.936465,,,,,Caltrain,Commuter Rail,POINT (-121.936465 37.353384),Santa Clara Caltrain Station,peripheral
77,77,south_sf,South San Francisco Caltrain Station,37.655941416,-122.404979006,,,,,Caltrain,Commuter Rail,POINT (-122.404979006 37.655941416),South San Francisco Caltrain Station,peripheral
78,78,stanford,Stanford,37.43895,-122.15715,,,,,Caltrain,Commuter Rail,POINT (-122.15715 37.43895),Stanford,peripheral
79,79,sunnyvale,Sunnyvale,37.378934,-122.0315,,,,,Caltrain,Commuter Rail,POINT (-122.0315 37.378934),Sunnyvale,peripheral
80,80,tamien,Tamien Caltrain Station,37.31269,-121.8847,,,,,Caltrain,Commuter Rail,POINT (-121.8847 37.31269),Tamien Caltrain Station,peripheral
